6460	4623	4006	2381	6285
6895	4856	7049	9719	8224
5912	1238	1600	1317	4592
6140	5617	3028	4375	5910
3808	1090	1786	9237	3304
2062	8865	3540	3942	9863
9947	3737	9798	4543	2072
191	5061	5148	256	2530
6021	8698	196	1404	9575
723	7891	5512	3596	2349
5736	4978	8391	4278	5704
5154	64	5432	4057	4016
4445	9784	6572	5115	5819
9960	1732	442	7470	6168
8041	882	6318	5988	2769
3799	7209	1842	1292	6706
101	1002	3428	3764	9185
834	1331	3246	1913	4519
4548	2211	8337	316	4379
1472	5378	8427	8605	9812
4566	1274	3954	7141	7452
351	7860	4339	4951	7690
5563	3508	9282	1100	3581
3522	8201	7197	7942	893
1960	2440	1979	6706	3552
4695	1861	3412	7729	3227
7664	5364	7538	4478	1422
8403	329	6229	893	3188
3136	185	3460	4809	7
9927	2142	1164	307	2557
6287	4743	8954	7222	7607
2352	251	8554	3307	3227
640	9326	7622	9174	2758
8792	5950	1471	8111	7890
1864	5227	6118	4801	7638
8664	5041	1937	3749	4744
110	7964	5093	6610	6598
32	2915	9210	1398	9037
7520	7933	8918	6114	2303
4905	1031	2863	5700	9585
9790	3043	2921	5158	4458
3617	4096	5232	1519	8679
8384	1877	1155	2503	7292
3360	4525	7090	254	9513
8162	6574	1510	6836	373
6899	5223	9267	1203	7482
1515	6612	2649	4739	2589
1344	4385	9093	6834	2982
3047	36	2781	861	8863
9563	1823	6553	2923	1119
3584	1550	4014	6740	6738
2244	3963	1191	6834	9962
5400	6703	8182	5422	7470
8922	1594	2430	2961	1952
8057	8227	7735	1983	5638
4440	8630	7514	3647	9472
3350	5470	6992	906	2675
137	1850	9179	2157	6147
4548	8222	8201	2930	2314
9086	4452	147	9928	2270
613	2110	6486	2537	1523
854	9951	9447	6074	1281
8165	4557	3610	1649	2500
3654	9352	2831	100	3165
2524	6003	9531	3876	6044
1247	5704	3170	8475	1580
7238	3397	6011	41	8909
7970	4512	5785	5551	1696
3381	6425	9851	6799	7358
3896	1085	1153	6314	2421
4985	6151	7961	4539	934
1970	1769	4788	5456	491
5737	3165	8401	2242	5685
7057	1936	2604	6769	5238
4301	8801	9979	2262	5299
5185	8625	2392	8749	1518
9517	7638	4805	5746	7072
8285	2436	1408	6828	8457
7698	1436	5565	5505	4587
3405	8132	5525	8174	1052
5410	5101	8259	1464	6814
6069	9806	9545	3515	1196
1976	3435	8714	3374	6782
3209	4676	3744	7600	9780
5717	5357	6009	7479	1215
9187	2637	3237	7640	3019
5664	482	3426	1743	7685
5475	1692	8126	58	445
4095	4760	1498	2949	4819
2700	1971	6422	3404	742
5614	1935	2657	6820	9102
9606	8887	6210	521	686
921	856	660	6678	947
5189	7812	6448	488	336
2777	3445	9564	3568	822
3070	8111	5360	7610	8860
4433	3961	2696	7150	3166
3922	6099	7022	4156	5423
9297	8742	6222	8970	7693
6316	6083	8182	6483	5344
6072	4942	7522	1879	8826
2255	7986	7530	4464	9004
3948	2867	8721	4996	5722
6887	1452	4226	859	290
4967	1220	3952	6911	900
4547	2599	8557	5775	368
3762	1838	1231	3156	2004
8593	4450	4164	4935	432
7419	8170	1539	4742	8780
5863	9473	5314	1004	9595
5613	6596	1231	7549	732
2442	1111	1792	8384	7094
8361	8004	2232	4498	1810
776	1062	1508	3895	7626
7548	164	2108	5890	5885
153	6824	1985	9213	2393
7541	6813	1230	4142	3775
9745	6041	8393	4959	7749
8436	5190	5521	7427	172
398	7287	4579	2034	5718
9399	7463	7307	3749	7419
7750	7149	8019	4990	443
1401	2580	9131	4526	1097
8144	399	6312	4717	5881
2451	4035	4079	8170	1549
7477	1135	2058	6168	6319
4520	9856	9238	7352	2808
7685	6161	8393	8012	4485
1261	2020	4912	5223	2465
9406	6590	4900	7264	2571
8242	8590	4946	6761	8027
181	9770	5251	4454	3801
1904	2294	4868	6392	372
3266	8991	4947	5025	5567
8136	4700	4647	7633	1769
7535	272	9788	8391	9147
2370	2687	1190	2773	4506
1229	9805	1884	9794	9090
950	1302	1127	1047	4880
3799	7222	3446	4685	1826
6847	3166	935	1202	8899
7591	5312	6625	6399	4431
6680	5427	1404	4180	9795
8125	5910	9346	8478	1385
1432	8682	7504	6879	7061
1087	1267	2669	5583	5551
423	4759	4153	4192	3685
5400	779	6572	8495	566
9496	4859	1334	9771	7159
7793	8901	3837	356	2115
2319	9945	6221	9755	4811
7994	6802	3846	3405	8318
4840	106	5644	4003	1116
7865	2111	6583	5197	1153
8824	7472	2121	4292	6470
5510	6456	349	3624	2308
1297	4433	3460	8444	469
7307	7730	6003	8078	7896
2653	1196	2658	5825	8083
8814	112	3855	878	4716
2276	8632	4560	6625	9903
4482	6137	9487	5555	9190
1591	5367	7519	7631	8063
3257	6969	3573	3246	7306
5536	3722	1101	2321	8752
4611	5278	9812	3796	992
1864	6995	9570	3000	7159
1225	29	7609	9698	5884
170	8381	1998	2054	8179
9468	199	315	3021	1451
7521	9876	4953	2281	9464
153	6342	2078	4843	8772
2889	3101	7865	6476	6911
498	353	1029	8720	9024
9244	6112	9031	5665	8701
8267	6523	1810	6470	8769
2276	1883	9484	5393	7731
7650	6524	5961	6311	5074
1072	80	4250	720	8425
9286	2273	16	3667	1079
695	9628	8645	1589	5094
7668	9990	7345	5268	9606
4280	7093	3646	2136	1466
2248	2003	2389	893	8760
4033	5858	9502	2640	2335
4165	4113	7053	7193	9914
4049	6693	2496	2867	635
2308	1449	7395	5860	6379
7638	8487	2313	693	2502
5877	8192	9656	2232	3560
3003	1141	4811	8125	2241
373	9971	5591	3665	6729
1943	6907	3710	1422	5047
743	6159	4159	2547	4032
7078	3090	6979	5454	5282
5606	5920	4096	4750	1859
5117	2836	4189	6323	3195
3907	4123	3171	548	1670
1425	2680	1297	3942	9292
928	7529	2532	5560	5685
5658	6322	5809	7873	6150
7585	8090	4748	3031	2277
5495	8351	9351	3190	1593
1402	6485	4884	7151	9858
1302	8499	1993	7934	8621
7030	9898	4303	6970	8932
6779	1407	8364	9082	8456
2980	1055	9632	4289	1856
5756	9880	7378	16	8390
9108	908	4519	4604	4150
8146	464	6270	900	9351
5003	8305	3195	3515	2771
5074	4630	413	4400	7846
6435	8132	6945	8838	393
9190	6839	6253	7095	1169
1439	1083	5534	9466	6
7583	5804	2053	8976	3185
8433	5994	7473	6452	7547
5293	9953	2076	7544	3671
985	9330	3347	4430	1891
8523	8479	6462	6463	8366
5598	774	4128	2100	5916
6841	5790	6226	3646	691
7381	4243	3513	8007	6568
5858	7819	1522	3282	7505
9532	4776	6622	5743	8175
9457	5586	1887	5514	339
3418	1562	8127	1799	3457
1074	2464	3326	4750	1693
308	7069	826	2950	7582
4240	6409	5992	9263	7862
9290	7589	3757	2362	5657
1834	2751	1065	4652	1163
3443	2299	6574	9125	3760
5541	5727	6106	2663	182
1903	232	3699	9881	5073
734	8889	7674	8950	9670
1508	4809	7458	9493	8512
5032	345	2120	1123	9358
9696	9759	7907	481	2497
7559	2654	9597	574	8464
6690	1142	6342	5204	4162
4731	5848	5421	8525	8929
9397	1525	2853	2625	570
8331	8219	395	5830	976
4644	2102	5101	4297	940
4993	7751	8476	5108	4260
732	9907	2182	7559	2901
2109	6798	4464	4716	8425
9824	5657	3787	3282	5901
1608	4856	5355	2507	6723
2523	9709	1944	7395	6943
4375	5729	5470	6900	3865
1017	1441	7851	8075	23
363	4992	544	657	9886
3074	4543	2905	1	5985
8671	3526	2813	8213	6905
6616	9257	9708	1303	2524
9164	8983	6232	4920	9499
2662	651	2289	2824	2696
9896	3190	2874	4331	8553
2433	6047	2677	1247	2046
9948	440	6306	7658	9604
6580	4672	2346	2888	6742
3295	8116	214	8065	9478
1213	1310	7950	2226	1204
1799	3916	9745	9698	5842
9177	5142	3868	7781	9594
2634	4146	4874	9963	3262
5689	834	5575	303	625
9436	1623	9013	4810	8057
8860	3457	9570	9368	4726
5507	169	3845	8423	378
793	2017	954	1843	4392
3196	9993	5949	4454	5808
6749	8095	9589	314	3849
6817	1647	7560	154	9502
7561	1508	1165	6367	7186
5210	5408	8835	4836	1416
4765	1455	3604	4591	9056
5180	6368	2104	8242	6884
5251	3291	5855	4521	7686
1138	3720	7350	4330	654
7054	8559	1686	8476	8971
1125	3367	7701	5235	8481
6219	7323	981	4435	4428
9281	1168	7348	5277	5455
4442	2524	2925	3923	1890
5142	7777	9332	1819	8065
542	8142	9966	2612	2726
246	1475	7397	1438	2666
6026	4008	9648	3354	9185
8058	6649	2403	778	1844
4616	7173	5	3195	7760
7886	6333	5026	4356	6834
2671	6813	2847	5823	7440
4070	4559	8628	8716	5407
817	3433	1379	3971	9849
53	2173	5784	1158	4647
2909	2334	6809	5173	7126
3337	8206	2554	5451	6071
723	9306	2123	4378	7934
2832	9859	4661	9311	7240
3754	6696	9192	9939	6537
1711	2591	1742	5240	8500
8483	3457	4048	691	4172
7162	6421	1171	2607	4548
6651	7709	4057	8197	1872
1477	3532	7818	8187	1942
8815	3953	6939	7178	750
7246	4536	3110	922	6154
4890	4437	2769	6090	4648
4747	1668	6829	9393	5486
744	113	6918	9011	9847
7031	3582	4755	3067	5776
599	7308	1956	1459	3367
3889	3138	4748	9777	100
2884	5751	3478	8002	7047
5816	8702	5099	4362	6671
8474	9382	812	2301	8844
